Student.Initials,Island.1or2,Island.Distance,Island.Size,Avg.Num.Species
ALR,1,10,256,7
ALR,2,10,256,5.2
ALR,1,10,192,8.7
ALR,2,210,64,1.4
ALR,1,30,96,3.3
ALR,2,250,224,5.1
ALR,1,10,256,7
ALR,2,10,64,1.2
CEJ,1,50,160,4.8
CEJ,2,110,256,8.3
CEJ,1,130,224,5.6
CEJ,2,130,128,6
CEJ,1,150,192,7
CEJ,2,30,192,5.5
CEJ,1,410,256,6.4
CEJ,2,10,64,2.2
CEJ,1,330,256,3.6
CEJ,2,10,160,8.6
CEJ,1,230,256,7
CEJ,2,230,64,1.5
CEJ,1,150,96,1.5
CEJ,2,250,192,5.5
CEJ,1,30,160,3.8
HES,1,190,256,7.5
HES,2,10,160,8.7
HES,1,150,256,7
HES,2,10,128,6
HES,1,10,256,8.1
HES,2,410,64,0.6
EMO,1,410,256,2.9
EMO,2,10,128,6.9
EMO,1,410,224,2.3
EMO,2,390,2.4,3.8
EKJ,1,10,192,8.5
EKJ,2,70,256,8
EKJ,1,170,128,4.7
EKJ,2,50,256,7
EMO,1,10,192,6.4
DP,1,310,64,1
DP,2,10,256,7.6
FGJ,1,410,160,3.6
GP,2,10,256,8.3
GP,1,270,256,5.8
KJZ,1,190,96,3.4
KJZ,2,190,96,2.2
KJZ,1,180,64,3.8
KJZ,2,390,64,4.4
KJZ,1,10,96,5.5
KJZ,2,10,256,8.2
KJZ,1,190,192,6.8
KJZ,2,10,192,6.6
CY,1,110,256,6.9
CY,1,10,96,5.7
CY,1,210,64,1.7
KJZ,1,10,96,5.5
KJZ,2,10,256,8.2
KJZ,1,190,192,6.8
KJZ,2,10,192,6.6
RZ,1,10,160,7.8
RZ,2,250,256,5
MMA,1,10,256,7.1
MMA,2,170,128,3.1
RS,1,290,96,1.7
TMP,1,130,128,2.5
TMP,2,10,256,5.8
TP,1,150,256,7.5
TP,2,410,256,4.7
RD,1,90,256,7.1
RD,2,10,192,8.6
RZ,1,230,160,4.4
RZ,2,50,256,5.1
MMA,1,10,64,4.1
MMA,2,170,256,6.5
TMP,1,130,256,5
TMP,2,10,128,7.5
KJZ,1,190,96,3.4
KJZ,2,190,96,2.2
KJZ,1,180,64,3.8
KJZ,2,390,64,4.4
GPZ,1,110,256,6.4
GPZ,2,10,160,8.4
MMA,1,170,160,3
MMA,2,170,256,7.8
RZ,1,10,64,3.3
RZ,2,30,160,5
REI,1,190,224,4.6
REI,2,30,64,4.7
REI,1,410,64,1.6
REI,2,50,256,7.2
REI,1,230,64,1.3
REI,2,150,256,5.9
REI,1,410,256,4.5
REI,2,410,256,4.3
TMP,1,70,224,5.9
TMP,2,70,96,1.5
GPZ,1,10,256,7.2
GPZ,2,10,64,2.2
RZ,1,230,160,5.8
RZ,2,70,160,4.7
RD,1,10,64,4.1
RD,2,410,256,4
KJZ,1,10,96,5.1
KJZ,2,410,96,2.4
GPZ,1,230,64,1.7
GPZ,2,30,256,6.4
GGA,1,130,50,7.7
GGA,2,256,192,5.6
AK,1,10,256,8.1
AK,2,10,64,3.8
AK,1,410,256,2.9
AK,2,410,64,0.7
KJZ,1,390,256,9
KJZ,2,390,64,1.1
